,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,conservation status,ecomorphological guild,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,geographic distribution includes,habitat,population trend,biogeographic realm,body mass,foraging habitat,life span,trophic guild,weight,host of,eats,ecoregion,type specimen repository,body shape,diet includes,mating system,native range includes,parental care,social system,preys on,number of public records in bold,behavioral circadian rhythm,bill length,genome size,tarsus length,temperature at range midpoint latitude,basal metabolic rate,litters per year,prenatal development duration,body temperature,parasitized by,middle toe length,has ectoparasite,is vector for,growth rate,onset of fertility,has endoparasite,visits flowers of,motility,sensory system,is eaten by,preyed upon by,used for,tarsometatarsus + middle toe length,body length,pathogen of,has host,initial mortality rate,mortality rate doubling time,symbiont of,clutch/brood/litter size,egg mass,has pathogen,harvested in,mutualistic with,mineralized tissue contains,reproduction,standard length,water depth
0,Abbotts booby,Animalia,Chordata,Aves,https://eol.org/pages/45513856,Papasula (Abbott's Booby) is a genus of birds in the family Sulidae. They rely on flight to move around.,tympanic middle ear,endangered,nectonic,5000 Hz,20 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abbotts starling,Animalia,Chordata,Aves,https://eol.org/pages/45515541,Poeoptera femoralis (Abbott's Starling) is a species of birds in the family starlings. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,vulnerable,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Tanzania,"tropical,terrestrial",Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abbotts sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514925,Cinnyris abbotti (Abbott's Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abdims stork,Animalia,Chordata,Aves,https://eol.org/pages/45515774,Ciconia abdimii (Abdim's Stork) is a species of birds in the family Ciconiidae. They are associated with freshwater habitat. They are found in Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,United States,wadi,Decreasing,Afrotropics,1400 g,terrestrial,21.6 years,invertivore,1398 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Aberdare cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514495,Cisticola aberdare (Aberdare Cisticola) is a species of birds in the family African warblers. They are listed as vulnerable by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,vulnerable,,,10 dB,flight,apatite,corneal eyes,Kenya,"tropical,terrestrial",Decreasing,Afrotropics,24 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Aberrant bush warbler,Animalia,Chordata,Aves,https://eol.org/pages/45518949,Horornis flavolivaceus (Aberrant Bush Warbler) is a species of birds in the family Cettiidae. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Bhutan,fen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Aberts towhee,Animalia,Chordata,Aves,https://eol.org/pages/45511241,Melozone aberti (Abert's Towhee) is a species of birds in the family Passerellidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,United States,"desert,terrestrial",Increasing,,,,,,,Molothrus ater (Boddaert 1783) (Brown-headed Cowbird),Prosopis (mesquite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian catbird,Animalia,Chordata,Aves,https://eol.org/pages/45515456,Parophasma galinieri (Abyssinian Catbird) is a species of birds in the family Sylviidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,Ethiopia,terrestrial,Decreasing,Afrotropics,21.5 g,,,,,,,Ethiopian Montane Forests,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian crimsonwing,Animalia,Chordata,Aves,https://eol.org/pages/45515637,Cryptospiza salvadorii (Abyssinian Crimson Wing) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,bipedal movement,apatite,corneal eyes,Democratic Republic Of The Congo,"montane forest,terrestrial",Stable,Afrotropics,14 g,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian ground hornbill,Animalia,Chordata,Aves,https://eol.org/pages/1048003,Bucorvus abyssinicus (Abyssinian Ground Hornbill) is a species of birds in the family ground-hornbills. They are listed as vulnerable by IUCN. They are native to Ethiopia. They are diurnal carnivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,,,flight,,,United States,savanna,Decreasing,Afrotropics,,,,invertivore,,,,,,bilaterally symmetric,mammals,monogamous,Ethiopia,provisioning,group living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian ground thrush,Animalia,Chordata,Aves,https://eol.org/pages/45515555,Geokichla piaggiae (Abyssinian Ground Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Burundi,"river,terrestrial",Decreasing,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian longclaw,Animalia,Chordata,Aves,https://eol.org/pages/45515069,Macronyx flavicollis (Abyssinian Longclaw) is a species of birds in the family Motacillidae. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,near threatened,,,10 dB,bipedal movement,apatite,corneal eyes,Ethiopia,"subtropical,terrestrial",Decreasing,Afrotropics,,,,,,,,Ethiopian Montane Grasslands And Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian owl,Animalia,Chordata,Aves,https://eol.org/pages/1178299,Asio abyssinicus (Abyssinian Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They rely on flight to move around.,otoliths,cites appendix ii,,1000 Hz,-15 dB,bipedal movement,apatite,corneal eyes,Democratic Republic Of The Congo,"mountain,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian roller,Animalia,Chordata,Aves,https://eol.org/pages/45513608,Coracias abyssinicus (Abyssinian Roller) is a species of birds in the family rollers. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Benin,"mountain,freshwater habitat",Increasing,,104 g,,,,,,Pisanianura,,,,,,,,,Pisanianura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian scimitarbill,Animalia,Chordata,Aves,https://eol.org/pages/45514095,Rhinopomastus minor (Abyssinian Scimitar Bill) is a species of birds in the family woodhoopoes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Ethiopia,terrestrial,Decreasing,Afrotropics,23 g,,,,,,,Ethiopian Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian slaty flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514707,Melaenornis chocolatinus (Abyssinian Slaty Flycatcher) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Ethiopia,"tropical,terrestrial",Decreasing,,27 g,,,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abyssinian thrush,Animalia,Chordata,Aves,https://eol.org/pages/45515568,Turdus abyssinicus (Abyssinian Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Democratic Republic Of The Congo,mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
