,Name,Wikidata_link
0,Abbott's Booby,https://www.wikidata.org/wiki/Q839854
0,Abbott's Starling,https://www.wikidata.org/wiki/Q27075615
0,Abd al Kuri Sparrow,https://www.wikidata.org/wiki/Q3056159
0,Abdim's Stork,https://www.wikidata.org/wiki/Q308199
0,Aberdare Cisticola,https://www.wikidata.org/wiki/Q1923584
0,Aberrant Bush-warbler,https://www.wikidata.org/wiki/Q27075472
0,Abert's Towhee,
0,Abyssinian Catbird,https://www.wikidata.org/wiki/Q908830
0,Abyssinian Crimsonwing,https://www.wikidata.org/wiki/Q1034934
0,Abyssinian ground hornbill,https://www.wikidata.org/wiki/Q480086
0,Abyssinian Ground-thrush,https://www.wikidata.org/wiki/Q841635
0,Abyssinian Longclaw,https://www.wikidata.org/wiki/Q384846
0,Abyssinian owl,https://www.wikidata.org/wiki/Q257212?wprov=srpw1_0
0,Abyssinian Roller,
0,Abyssinian Scimitarbill,https://www.wikidata.org/wiki/Q901570
0,Abyssinian Slaty-flycatcher,https://www.wikidata.org/wiki/Q1316509
0,Abyssinian Thrush,https://www.wikidata.org/wiki/Q2225989
0,Abyssinian waxbill,https://www.wikidata.org/wiki/Q107524714
0,Abyssinian wheatear,https://www.wikidata.org/wiki/Q11858961
0,Abyssinian White-eye,https://www.wikidata.org/wiki/Q3178456
0,Abyssinian Woodpecker,https://www.wikidata.org/wiki/Q971542
0,Acacia Pied Barbet,https://www.wikidata.org/wiki/Q1266727
0,Acacia tit,https://www.wikidata.org/wiki/Q27075391
0,Acadian Flycatcher,https://www.wikidata.org/wiki/Q252175
0,Aceh Bulbul,https://www.wikidata.org/wiki/Q27075427
0,Acorn Woodpecker,https://www.wikidata.org/wiki/Q368657
0,Acre Antshrike,https://www.wikidata.org/wiki/Q1262041
0,Acre Tody-tyrant,https://www.wikidata.org/wiki/Q16748022
0,Adamawa Turtle-dove,https://www.wikidata.org/wiki/Q114994
0,Adelaide's Warbler,https://www.wikidata.org/wiki/Q3178553
0,Adélie penguin,https://www.wikidata.org/wiki/Q187958
0,Admiralty cicadabird,https://www.wikidata.org/wiki/Q10757967
0,Afep Pigeon,https://www.wikidata.org/wiki/Q665742
0,Afghan babbler,https://www.wikidata.org/wiki/Q3002228
0,Afghan Snowfinch,https://www.wikidata.org/wiki/Q27075723
0,African Barred Owlet,https://www.wikidata.org/wiki/Q1274348
0,African Black Duck,https://www.wikidata.org/wiki/Q511979
0,African black swift,https://www.wikidata.org/wiki/Q1272743
0,African Blue-flycatcher,https://www.wikidata.org/wiki/Q3051593
0,African Blue Tit,https://www.wikidata.org/wiki/Q10546857
0,African Broadbill,https://www.wikidata.org/wiki/Q1061425
0,African citril,https://www.wikidata.org/wiki/Q27075797
0,African Collared-dove,https://www.wikidata.org/wiki/Q921348
0,African Crake,https://www.wikidata.org/wiki/Q1267654
0,African Crimson-winged Finch,https://www.wikidata.org/wiki/Q4689743
0,African Cuckoo,https://www.wikidata.org/wiki/Q1272649
0,African Cuckoo-hawk,https://www.wikidata.org/wiki/Q512295
0,African Darter,https://www.wikidata.org/wiki/Q387379
0,African Desert Warbler,https://www.wikidata.org/wiki/Q2667945
0,African Dusky Flycatcher,https://www.wikidata.org/wiki/Q841997
0,African Dwarf-kingfisher,https://www.wikidata.org/wiki/Q27074797
0,African Emerald Cuckoo,https://www.wikidata.org/wiki/Q18956
0,African Finfoot,
0,African Firefinch,https://www.wikidata.org/wiki/Q1077355
0,African Fish-eagle,https://www.wikidata.org/wiki/Q217497
0,African Golden Oriole,https://www.wikidata.org/wiki/Q923010
0,African Goshawk,https://www.wikidata.org/wiki/Q128037
0,African Grass-owl,https://www.wikidata.org/wiki/Q385076
0,African Green-pigeon,https://www.wikidata.org/wiki/Q512566
0,African Grey Flycatcher,https://www.wikidata.org/wiki/Q27075639
0,African Grey Hornbill,https://www.wikidata.org/wiki/Q27074817
0,African grey woodpecker,https://www.wikidata.org/wiki/Q946681
0,African Harrier-hawk,https://www.wikidata.org/wiki/Q512792
0,African Hawk-eagle,https://www.wikidata.org/wiki/Q20850537
0,African Hill-babbler,https://www.wikidata.org/wiki/Q1588046
0,African Hobby,
0,African hoopoe,https://www.wikidata.org/wiki/Q3143386
0,African Jacana,https://www.wikidata.org/wiki/Q132201
0,African Marsh-harrier,
0,African Olive-pigeon,https://www.wikidata.org/wiki/Q512840
0,African Openbill,https://www.wikidata.org/wiki/Q26902
0,African Oystercatcher,https://www.wikidata.org/wiki/Q855552
0,African Palm-swift,https://www.wikidata.org/wiki/Q772286
0,African Paradise-flycatcher,https://www.wikidata.org/wiki/Q541440
0,African Penguin,https://www.wikidata.org/wiki/Q244813
0,African Piculet,https://www.wikidata.org/wiki/Q1266812
0,African pied hornbill,https://www.wikidata.org/wiki/Q226128
0,African Pied Wagtail,https://www.wikidata.org/wiki/Q530069
0,African Pipit,https://www.wikidata.org/wiki/Q995602
0,African Pitta,https://www.wikidata.org/wiki/Q512976
0,African Pygmy-goose,https://www.wikidata.org/wiki/Q386949
0,African Pygmy-kingfisher,https://www.wikidata.org/wiki/Q244227
0,African Rail,https://www.wikidata.org/wiki/Q1082137
0,African redeyed bulbul,
0,African reed warbler,https://www.wikidata.org/wiki/Q2667981
0,African River Martin,https://www.wikidata.org/wiki/Q246468
0,African rock pipit,https://www.wikidata.org/wiki/Q907476
0,African Sacred Ibis,https://www.wikidata.org/wiki/Q208763
0,African Scops-owl,
0,African Shrike-flycatcher,https://www.wikidata.org/wiki/Q1308363
0,African Silverbill,https://www.wikidata.org/wiki/Q994413
0,African Skimmer,https://www.wikidata.org/wiki/Q18766
0,African Snipe,https://www.wikidata.org/wiki/Q1260623
0,African Spoonbill,
0,African Spotted Creeper,https://www.wikidata.org/wiki/Q15707860
0,African stonechat,https://www.wikidata.org/wiki/Q1315689
0,African swamphen,https://www.wikidata.org/wiki/Q4862280
0,African Thrush,https://www.wikidata.org/wiki/Q513026
0,African wattled lapwing,https://www.wikidata.org/wiki/Q875949
0,African Wood-owl,https://www.wikidata.org/wiki/Q385170
0,African Yellow Warbler,https://www.wikidata.org/wiki/Q2667934
0,Agami Heron,https://www.wikidata.org/wiki/Q218312
0,Agile Tit-tyrant,https://www.wikidata.org/wiki/Q1263615
0,Aguiguan reed warbler,https://www.wikidata.org/wiki/Q15707926
0,Agulhas longbilled lark,
0,Ahanta spurfowl,https://www.wikidata.org/wiki/Q1268200
0,Ainley's Storm-petrel,https://www.wikidata.org/wiki/Q27074596
0,Akiapolaau,https://www.wikidata.org/wiki/Q27075770
0,Akikiki,https://www.wikidata.org/wiki/Q1304953
0,Akohekohe,https://www.wikidata.org/wiki/Q591208
0,Akun Eagle-owl,https://www.wikidata.org/wiki/Q1273322
0,Alagoas Antwren,https://www.wikidata.org/wiki/Q1266069
0,Alagoas Curassow,https://www.wikidata.org/wiki/Q545554
0,Alagoas Foliage-gleaner,https://www.wikidata.org/wiki/Q575654
0,Alagoas Tyrannulet,https://www.wikidata.org/wiki/Q575647
0,Alaotra Grebe,https://www.wikidata.org/wiki/Q575699
0,Albertine Owlet,https://www.wikidata.org/wiki/Q1274571
0,Albertine Sooty Boubou,https://www.wikidata.org/wiki/Q31874269
0,Albert's Lyrebird,https://www.wikidata.org/wiki/Q1073505
0,Aldabra Brush-warbler,https://www.wikidata.org/wiki/Q593384
0,Aldabra Drongo,https://www.wikidata.org/wiki/Q1591792
0,Aldabra Fody,https://www.wikidata.org/wiki/Q12257927
0,Aldabra whiteeye,
0,Alder Flycatcher,
0,Aleutian Tern,https://www.wikidata.org/wiki/Q793494
0,Alexandrine Parakeet,https://www.wikidata.org/wiki/Q753746
0,Algerian Nuthatch,
0,Allen's Gallinule,https://www.wikidata.org/wiki/Q746632
0,Allen's Hummingbird,
0,Allpahuayo Antbird,https://www.wikidata.org/wiki/Q1261035
0,Alor boobook,https://www.wikidata.org/wiki/Q60793192
0,Alor myzomela,https://www.wikidata.org/wiki/Q70066900
0,Alpine Accentor,https://www.wikidata.org/wiki/Q208334
0,Alpine chough,https://www.wikidata.org/wiki/Q191386
0,Alpine leaf warbler,https://www.wikidata.org/wiki/Q1923047
0,Alpine Pipit,https://www.wikidata.org/wiki/Q3180300
0,Alpine Swift,
0,Alpine Thrush,https://www.wikidata.org/wiki/Q2670038
0,Alström's Warbler,https://www.wikidata.org/wiki/Q2225437
0,Alta Floresta antpitta,https://www.wikidata.org/wiki/Q10770231
0,Altai Accentor,https://www.wikidata.org/wiki/Q1036507
0,Altai Snowcock,https://www.wikidata.org/wiki/Q1266639
0,Altamira Oriole,https://www.wikidata.org/wiki/Q1300686
0,Altamira Yellowthroat,https://www.wikidata.org/wiki/Q1536048
0,Amami Thrush,https://www.wikidata.org/wiki/Q3066642
0,Amami Woodcock,https://www.wikidata.org/wiki/Q265279
0,Amani Sunbird,https://www.wikidata.org/wiki/Q3729679
0,Amazilia Hummingbird,https://www.wikidata.org/wiki/Q943588
0,Amazon Kingfisher,https://www.wikidata.org/wiki/Q456421
0,Amazonian Antpitta,https://www.wikidata.org/wiki/Q631001
0,Amazonian Antshrike,https://www.wikidata.org/wiki/Q1268649
0,Amazonian Barred Woodcreeper,https://www.wikidata.org/wiki/Q606781
